zip,tot_pop,tot_pop_his,tot_pop_not_his,tot_pop_wht,tot_pop_blk,tot_pop_ntv,tot_pop_asn,tot_pop_isl,tot_pop_otr
601,17242,17185,57,37,1,0,0,0,9
602,37548,37278,270,213,10,3,10,0,13
603,49804,48996,808,584,80,5,49,1,29
606,5009,4974,35,26,1,0,2,0,1
610,25731,25489,242,179,19,0,5,4,15
611,1671,1654,17,12,0,0,2,0,2
612,62425,61908,517,374,46,0,38,0,38
616,9828,9786,42,27,7,0,0,0,5
617,22541,22430,111,70,8,12,3,0,11
622,7838,7702,136,110,16,0,2,0,3
623,39320,38887,433,317,25,3,32,0,36
624,21709,21598,111,69,20,0,8,0,10
627,32873,32570,303,250,8,3,5,0,21
631,1414,1407,7,4,0,0,0,0,2
636,555,545,10,9,1,0,0,0,0
637,23124,22996,128,92,11,1,4,0,11
638,18109,18004,105,60,5,3,14,0,18
641,24292,24113,179,147,8,2,9,3,7
646,36272,35056,1216,926,67,4,88,2,37
647,4611,4574,37,30,2,0,0,0,4
650,13637,13566,71,45,7,0,4,0,9
652,4020,4005,15,10,0,0,2,0,2
653,9244,9156,88,65,12,0,0,0,6
656,17965,17903,62,29,3,0,1,2,8
659,37421,37111,310,211,45,2,21,0,7
660,15448,15333,115,75,15,1,7,0,9
662,40770,40232,538,399,42,1,23,1,35
664,15066,14987,79,57,10,0,3,0,8
667,23522,23342,180,130,20,0,7,1,18
669,27833,27635,198,116,9,5,9,0,47
670,8828,8756,72,44,7,0,4,0,5
674,39345,39054,291,196,31,0,20,0,31
676,36706,36566,140,77,23,2,14,0,13
677,15379,14600,779,691,24,6,11,0,18
678,25410,25206,204,161,8,0,7,2,8
680,46056,45650,406,290,44,4,31,0,15
682,28299,27719,580,410,64,0,53,0,27
683,29788,29571,217,145,27,1,16,0,15
685,40294,40050,244,171,15,4,5,0,38
687,28727,28604,123,86,1,2,6,1,14
688,12443,12375,68,49,9,0,5,0,4
690,5326,5261,65,44,9,0,6,0,3
692,32873,32457,416,248,57,5,44,0,50
693,56095,55690,405,279,31,10,13,0,24
694,231,228,3,3,0,0,0,0,0
698,33774,33590,184,131,10,3,15,2,10
703,25332,25203,129,89,12,1,5,0,12
704,6865,6786,79,60,13,0,0,0,0
705,24467,24239,228,141,19,0,3,0,37
707,10544,10485,59,31,19,0,2,0,1
714,15802,15667,135,69,26,1,7,0,18
715,2299,2283,16,9,2,0,1,0,2
716,28423,28140,283,195,15,3,36,0,18
717,14199,14033,166,100,22,0,12,0,16
718,23290,23095,195,135,16,0,14,0,17
719,30063,29948,115,87,11,2,1,0,4
720,20331,20245,86,57,14,6,3,0,4
723,15983,15876,107,66,17,0,0,0,8
725,77223,76642,581,335,67,9,34,4,80
727,54207,53775,432,250,36,2,54,2,50
728,36675,36369,306,218,26,1,31,0,14
729,47393,47071,322,145,93,3,26,0,24
730,30521,30289,232,158,25,8,9,0,15
731,12292,12205,87,58,8,1,5,1,10
735,11299,11092,207,144,24,4,11,0,18
736,45833,45561,272,176,28,6,20,2,14
738,30706,30183,523,285,100,14,25,2,60
739,34964,34780,184,134,16,0,0,0,23
740,1492,1443,49,27,12,0,2,0,7
741,3526,3479,47,16,22,0,0,0,4
745,47718,47130,588,388,93,6,34,0,38
751,19369,19231,138,106,10,0,0,0,17
754,36673,36506,167,107,3,4,13,0,25
757,20183,20070,113,61,11,2,14,1,12
765,8249,7586,663,533,47,15,3,0,55
766,22354,22268,86,66,3,5,1,0,6
767,30646,30474,172,119,12,1,8,2,18
769,34163,33962,201,95,17,3,12,3,51
771,34761,34563,198,125,27,0,16,0,18
772,17936,17836,100,24,61,1,8,0,4
773,17772,17255,517,384,61,6,21,3,21
775,1792,1599,193,176,0,0,3,0,4
777,37717,37489,228,137,32,5,1,0,43
778,40585,40281,304,190,41,11,9,0,28
780,14934,14830,104,68,12,1,13,0,1
782,17965,17889,76,43,8,0,1,0,19
783,34093,33924,169,94,20,0,9,10,28
784,36313,36075,238,137,18,2,20,3,34
786,273,273,0,0,0,0,0,0,0
791,47260,46319,941,718,71,0,74,0,32
794,28791,28716,75,47,6,1,5,2,11
795,43745,43504,241,148,39,1,10,0,28
901,6218,5637,581,450,39,0,48,4,20
906,165,116,49,26,4,0,13,0,0
907,16864,15382,1482,1049,115,2,218,1,35
909,6987,6647,340,230,55,2,21,0,20
911,7496,6673,823,653,43,4,62,0,17
912,5786,5630,156,80,43,2,10,0,7
913,7261,6999,262,210,24,1,7,0,10
915,25075,24744,331,123,141,4,8,0,20
917,17319,17064,255,122,55,7,29,1,9
918,17439,17060,379,216,38,2,78,0,19
920,14798,14576,222,96,66,4,26,0,9
921,32062,31680,382,206,73,1,41,1,31
923,23607,23310,297,139,90,7,14,0,13
924,49654,49109,545,298,107,2,49,0,37
925,5501,5365,136,50,36,2,22,0,13
926,96732,95566,1166,741,125,12,133,0,79
927,14297,14017,280,195,17,4,37,0,8
934,218,158,60,38,13,0,4,0,2
949,67453,66680,773,485,131,1,72,5,40
950,6,6,0,0,0,0,0,0,0
951,430,427,3,0,3,0,0,0,0
952,8671,8615,56,15,22,1,0,0,15
953,66369,65980,389,230,38,4,38,3,38
956,72353,71796,557,352,75,5,27,1,55
957,40540,40217,323,186,36,8,43,0,36
959,43625,42894,731,505,75,4,63,2,39
960,2891,2840,51,40,8,0,1,0,2
961,28062,27725,337,216,29,5,48,1,13
962,19741,19579,162,93,36,0,13,2,14
965,6168,5764,404,207,162,3,9,0,18
966,16977,16649,328,238,25,3,17,1,20
968,3722,3618,104,65,7,1,23,0,3
969,38838,38097,741,506,62,4,82,3,34
971,28517,28246,271,177,22,0,32,1,16
976,59879,59331,548,352,68,0,34,3,38
979,14929,14115,814,614,70,1,69,0,13
982,14182,14025,157,85,26,0,21,0,13
983,31889,31454,435,284,71,2,31,0,32
985,31250,30906,344,185,73,3,29,4,32
987,58427,57840,587,342,69,4,100,4,43
1001,16984,1150,15834,14370,353,23,491,2,51
1002,27558,2729,24829,17439,1389,46,4330,5,197
1003,13253,1158,12095,8009,878,14,2674,10,8
1005,4900,153,4747,4455,46,7,30,3,24
1007,15423,660,14763,13370,269,6,367,4,63
1008,1317,31,1286,1236,0,2,4,0,4
1009,980,46,934,859,7,0,14,0,5
1010,3711,119,3592,3325,27,9,31,0,5
1011,1201,42,1159,1101,0,9,2,0,2
1012,519,13,506,483,0,0,1,0,5
1013,23656,7534,16122,13728,1059,32,330,9,113
1020,29781,5195,24586,21791,967,48,547,21,102
