zip,m2f_per
601,98.4
602,95.9
603,94.5
606,97.4
610,93.2
612,88.6
616,89.6
617,91.1
622,61.6
623,95
624,94.8
627,91.2
631,97.5
637,84.4
638,94.2
641,93.1
646,90.3
647,108.5
650,93.2
652,90
653,84.8
656,90.9
659,92
660,85
662,94.2
664,97.5
667,95.6
669,96.9
670,101.1
674,89.2
676,95.1
677,90.4
678,92.3
680,91
682,90.7
683,94.5
685,94.7
687,98.3
688,107
690,88.9
692,92.7
693,91.4
694,100
698,91.2
703,95.4
704,98.9
705,91.1
707,94.8
714,87.4
715,98.2
716,80.9
717,77.5
718,87.6
719,95.1
720,99.3
723,95.1
725,84.8
727,90.2
728,103.5
729,91.5
730,91.7
731,96.1
735,89
736,91.8
738,87.7
739,93
740,79.6
741,73.4
745,92.2
751,91.7
754,94.4
757,93
765,103.5
766,94.3
767,93.5
769,94
771,91.6
772,87.7
773,89.8
775,116
777,90.6
778,89.6
780,93.7
782,98
783,94.5
784,96
786,178.1
791,90.6
794,97
795,90.1
901,116
906,134.2
907,94.8
909,92.7
911,94.5
912,81.1
913,79.9
915,91
917,87.1
918,79.2
920,85
921,78.5
923,89.1
924,79.5
925,103.2
926,81.2
927,85.4
934,153.3
936,46.9
949,88.4
950,-
951,-
952,78.9
953,91.6
956,86.8
957,83.7
959,83.4
960,11853.3
961,97.2
962,89.3
965,92.7
966,90.4
968,70.6
969,82.5
971,101.3
976,87.2
979,94.5
982,78.6
983,77.9
985,81.5
987,88.5
1001,91.3
1002,96.7
1003,104.1
1005,86.4
1007,97.8
1008,96.5
1009,96.7
1010,106.7
1011,92.2
1012,95.7
1013,82.3
1020,101.5
1022,96
1026,121
1027,93.7
1028,85.8
1029,134.4
1030,93.8
1031,124.4
1032,75.9
1033,96
1034,102
1035,83.1
1036,104.4
1037,92.2
1038,93.6
1039,76.3
1040,97.7
1050,99.8
1053,68.3
1054,96.1
1056,103.5
1057,104.3
1060,64.5
1062,90.9
1063,2.1
1066,-
1068,95
1069,106.8
1070,82
1071,101.2
1072,83
1073,119.5
1074,57.8
1075,64.3
1077,99.4
1079,69.4
1080,101.9
1081,104.1
1082,91.3
1083,100.2
1084,96.4
1085,93.6
1086,115.3
1088,96
1089,97.8
1092,79.6
1093,110.7
1094,92.8
1095,86
1096,98.4
1097,50
1098,84.1
1103,55.9
1104,75.4
1105,100.9
1106,89
1107,100.9
1108,89.7
1109,93.5
1118,105.3
1119,86.8
1128,83.5
1129,87.6
1151,82.1
1199,-
1201,93.4
1220,97.7
1222,83.7
1223,124.7
1224,83.1
1225,104.4
1226,88.8
1229,136
1230,83
1235,102.5
1236,93.7
1237,87.8
1238,88.3
1240,94.1
1242,36.4
1243,96.9
1244,100
1245,92.5
1247,99.7
1253,82.6
1254,81.3
1255,104.8
1256,115
1257,100.6
1258,173.3
1259,91
1260,89.1
1262,74.2
1264,72.6
1266,111.4
1267,87.5
1270,109.1
1301,94.8
1330,121.4
1331,91.4
1337,103.3
1338,328.6
1339,88.3
1340,106.3
1341,91.1
1342,91
1343,105.3
1344,87.8
1346,110
1347,10.3
1349,96.7
1350,112.8
1351,85.3
1354,131.6
1355,125
1360,88.8
1364,84.3
1366,97.8
1367,84
1368,133.7
1370,92.9
1373,90.6
1375,101.2
1376,95
1378,106.1
1379,110.3
1420,94.9
1430,99.1
1431,109.5
1432,102.5
1434,424
1436,157.3
1438,130.6
1440,102.4
1450,107
1451,105.5
1452,100.8
1453,95.1
1460,93.2
1462,99.4
1463,96.1
1464,174.6
1467,51.9
1468,93.5
1469,101.7
1473,93.2
1474,100.4
1475,97.4
1501,90.8
1503,85.5
1504,92
1505,97.3
1506,93.2
1507,90.9
1510,97.9
1515,100.7
1516,97.5
1518,87.3
1519,111
1520,90.8
1521,115.2
1522,96.5
1523,154.9
1524,97.1
1525,81.8
1527,85.2
1529,87.4
1531,93.5
1532,89.1
1534,90.1
1535,90.3
1536,90.2
1537,89.8
1540,94.2
1541,103.5
1542,89.7
1543,127.4
1545,95.2
1550,90.8
1560,107
1561,218.8
1562,110.4
1564,95.3
1566,93.8
1568,96.4
1569,101.3
1570,85.5
1571,92.8
1581,101.1
1583,124.7
1585,93.6
1588,93.7
1590,104.5
1602,92
1603,101.1
1604,100.7
1605,94.6
1606,97.1
1607,93.1
1608,83.3
1609,114.9
1610,83.9
1611,83.9
1612,110.2
1701,97.8
1702,98.1
1718,73.3
1719,93.1
1720,88.6
1721,96.2
1730,95.6
1731,152
1740,99.3
1741,117.8
1742,101
1745,47.4
1746,99.6
1747,88.1
1748,96.3
1749,93.4
1752,91.7
1754,93.7
1756,100.6
1757,103.4
1760,95.8
1770,83.7
1772,90.4
1773,98.6
1775,101.3
1776,104.8
1778,96.2
1801,96.7
1803,94.3
1810,92.5
1821,97.9
1824,91.2
1826,100.4
1827,107.2
1830,96.7
1832,89.3
1833,93.3
1834,94.3
1835,95.9
1840,82.3
1841,101.2
1843,102.1
1844,91.1
1845,100
1850,99.9
1851,99.5
1852,94.2
1854,98.5
1860,101.7
1862,114.6
1863,83.3
1864,98.9
1867,95.8
1876,86.2
1879,98.3
1880,97.1
1886,93.8
1887,102.6
1890,90
1901,101.5
1902,97.4
1904,101.2
1905,109.5
1906,98.7
1907,83.2
1908,77.6
1913,96.9
1915,88.4
1921,98.1
1922,89.6
1923,87
1929,94.4
1930,98.5
1937,304.4
1938,86.4
1940,85.9
1944,93.8
1945,84.2
1949,120.5
1950,81
1951,79.6
1952,103.5
1960,88.2
1966,81.6
1969,94.7
1970,78.8
1982,92.8
1983,93.2
1984,78.8
1985,103.6
2019,100
2021,87.5
2025,93.2
2026,87.2
2030,109.4
2032,103.1
2035,96.9
2038,92.3
2043,88.1
2045,85.9
2047,85.7
2048,89.8
2050,96.2
2052,100.1
2053,85.9
2054,90.6
2056,152.6
2061,92.7
2062,95.7
2066,92.5
2067,91.5
2071,412.5
2072,88.7
2081,94.4
2090,90.2
2093,104.8
2108,99
2109,80.2
2110,79.2
2111,81.4
2113,90.5
2114,111.8
2115,94.9
2116,86.3
2118,96.6
2119,83.8
2120,110.2
2121,89.7
2122,101.7
2124,84.5
2125,91
2126,84.3
2127,93.3
2128,109.7
2129,91
2130,87.1
2131,89.1
2132,91.6
2134,107
2135,91.3
2136,89.9
2138,95.8
2139,109
2140,95.4
2141,99.5
2142,105.4
2143,97.6
2144,97.8
2145,100.5
2148,98
2149,104.1
2150,103.5
2151,102.7
2152,87.6
2155,92.8
2163,100.9
2169,95.5
2170,100.3
2171,98.4
2176,92.5
2180,95.4
2184,92.5
2186,88
2188,98.6
2189,87.1
2190,92.3
2191,89.4
2199,90.6
2203,-
2210,134.8
2215,78.1
2301,89.5
2302,91.1
2322,93.4
2324,110.2
2330,92.1
2332,97.7
2333,94.7
2338,87.7
2339,91.9
2341,100
2343,95.3
2346,110.7
2347,95.7
2351,109.6
2356,92.1
2357,101.5
2359,93.8
2360,92.5
2364,91.8
2366,-
2367,90.7
2368,91.8
2370,84.2
2375,87
2379,95.4
2382,101
2420,96.5
2421,95.1
2445,88.8
2446,85.7
2451,100.6
2452,85.5
2453,93.3
2457,69
2458,99
2459,90.8
2460,88.8
2461,95.7
2462,77.1
2464,98.6
2465,95
2466,78.2
2467,84.7
2468,90
2472,86.7
2474,89.2
