zip,tot_resp,no_car,one_car,two_car,three_plus_car,tot_one_driver,one_car_one_driver,two_car_one_driver,three_plus_car_one_driver,tot_carpool,no_car_carpool,one_car_carpool,two_car_carpool,three_plus_car_carpool,tot_pub_trans,no_car_pub_trans,one_car_pub_trans,two_car_pub_trans,three_pus_car_pub_trans,tot_walk,no_car_walk,one_car_walk,two_car_walk,three_plus_car_walk,tot_otr,no_car_otr,one_car_otr,two_car_otr,three_plus_car_otr,tot_wfh,no_car_wfh,one_car_wfh,two_car_wfh,three_plus_car_wfh
601,3586,92,920,1665,909,2898,758,1434,706,181,0,36,95,50,0,0,0,0,0,249,61,75,63,50,106,31,17,0,58,152,0,34,73,45
602,10801,483,2738,4156,3424,7741,1810,3028,2764,1800,115,617,783,285,83,0,0,83,0,385,91,142,55,97,138,138,0,0,0,654,0,169,207,278
603,11122,495,3034,4158,3435,9887,2661,3741,3209,364,81,85,149,49,28,0,12,0,16,312,83,82,93,54,289,42,145,62,40,242,13,49,113,67
606,1455,43,526,462,424,1287,472,412,403,21,0,0,0,21,0,0,0,0,0,120,43,54,23,0,0,0,0,0,0,27,0,0,27,0
610,8205,232,1960,3407,2606,6089,1307,2506,2230,1583,28,531,740,284,26,0,0,26,0,71,41,30,0,0,194,117,0,54,23,242,0,92,81,69
612,15378,386,4343,6517,4132,13389,3924,5619,3786,888,76,216,488,108,97,34,25,38,0,369,187,83,99,0,47,10,29,8,0,588,19,66,265,238
616,2999,85,503,1291,1120,2714,469,1136,1064,243,40,34,113,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,42,0
617,6299,100,1560,3146,1493,5726,1456,2814,1431,255,47,25,157,26,15,0,15,0,0,127,0,0,127,0,0,0,0,0,0,176,28,64,48,36
622,1811,0,475,894,442,1622,475,781,366,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,81,76
623,11776,125,2770,5293,3588,10227,2381,4536,3207,430,14,53,268,95,102,8,15,37,42,255,0,78,177,0,0,0,0,0,0,762,0,243,275,244
624,5497,89,1484,2553,1371,4873,1229,2353,1256,132,0,51,26,55,0,0,0,0,0,70,20,7,28,15,356,34,158,133,31,66,0,39,13,14
627,9158,149,2157,3989,2863,8462,1920,3750,2670,407,13,159,110,125,0,0,0,0,0,32,14,18,0,0,44,0,0,30,14,213,0,60,99,54
631,393,14,120,117,142,393,120,117,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,6252,169,1864,2583,1636,5101,1462,2209,1388,510,7,172,172,159,37,28,9,0,0,241,71,33,104,33,108,21,59,0,28,255,0,129,98,28
638,3463,95,897,1363,1108,2914,680,1176,1012,391,35,173,102,81,0,0,0,0,0,97,14,44,39,0,14,0,0,14,0,47,0,0,32,15
641,5649,165,2256,1641,1587,5028,2044,1527,1419,130,10,53,24,43,0,0,0,0,0,254,106,23,79,46,11,11,0,0,0,226,0,136,11,79
646,11675,145,1949,5516,4065,9350,1591,4422,3337,868,30,63,515,260,33,9,0,14,10,483,106,207,138,32,191,0,21,170,0,750,0,67,257,426
647,1011,35,315,412,249,939,299,412,221,28,0,0,0,28,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,16,0,16,0,0
650,3888,170,944,1525,1249,3312,789,1330,1160,239,30,93,72,44,28,19,0,0,9,278,57,62,123,36,31,31,0,0,0,0,0,0,0,0
652,848,47,231,342,228,688,209,227,228,122,23,0,99,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,16,0,0,16,0
653,1964,51,466,1294,153,1770,380,1211,153,70,0,0,70,0,0,0,0,0,0,88,25,63,0,0,6,0,0,6,0,30,0,23,7,0
